,Name,Ticker,Asset_Type,Price,Date,Time
2495,Toronto-Dominion Bank,TD,Stock,107.02982608668684,2026-08-13,19:19:05
2543,Commonwealth Bank of Australia,CBA.AX,Stock,146.55680503162858,2026-08-13,19:19:05
2567,Taiwan Semiconductor Manufacturing,TSM,Stock,376.63364281350243,2026-08-13,19:19:05
2519,Bank of Nova Scotia,BNS,Stock,78.50328401843855,2026-08-13,19:19:05
1295,Boeing,BA,Stock,198.88365165234706,2026-08-13,19:19:05
2447,Shopify,SHOP,Stock,133.7656045924776,2026-08-13,19:19:05
647,Goldman Sachs,GS,Stock,908.3183530596358,2026-08-13,19:19:05
671,Morgan Stanley,MS,Stock,189.78673180877908,2026-08-13,19:19:05
695,American Express,AXP,Stock,296.3656101749057,2026-08-13,19:19:05
719,Charles Schwab,SCHW,Stock,94.9930920552743,2026-08-13,19:19:05
743,Eli Lilly,LLY,Stock,1054.9054338735539,2026-08-13,19:19:05
767,UnitedHealth Group,UNH,Stock,348.10710736146535,2026-08-13,19:19:05
791,Johnson & Johnson,JNJ,Stock,226.6232284836161,2026-08-13,19:19:05
815,AbbVie,ABBV,Stock,217.30298504839655,2026-08-13,19:19:05
839,Merck,MRK,Stock,116.84653677527936,2026-08-13,19:19:05
863,Pfizer,PFE,Stock,23.327680470081802,2026-08-13,19:19:05
623,Wells Fargo,WFC,Stock,76.39164744691783,2026-08-13,19:19:05
887,Thermo Fisher Scientific,TMO,Stock,517.5362867135108,2026-08-13,19:19:05
935,Danaher,DHR,Stock,176.5489238835919,2026-08-13,19:19:05
959,Bristol-Myers Squibb,BMY,Stock,56.32897952179266,2026-08-13,19:19:05
983,Walmart,WMT,Stock,99.74534451335182,2026-08-13,19:19:05
1007,Procter & Gamble,PG,Stock,124.95918934872705,2026-08-13,19:19:05
1031,Coca-Cola,KO,Stock,75.81929886769748,2026-08-13,19:19:05
1055,PepsiCo,PEP,Stock,121.2172191030692,2026-08-13,19:19:05
1079,Costco,COST,Stock,826.0167088277831,2026-08-13,19:19:05
1103,Home Depot,HD,Stock,296.4132998249805,2026-08-13,19:19:05
1127,McDonald's,MCD,Stock,236.41172764780254,2026-08-13,19:19:05
1151,Nike,NKE,Stock,35.60723441339535,2026-08-13,19:19:05
911,Abbott Laboratories,ABT,Stock,95.90364811680921,2026-08-13,19:19:05
1175,Disney,DIS,Stock,90.26251430497219,2026-08-13,19:19:05
599,Bank of America,BAC,Stock,55.56583926121732,2026-08-13,19:19:05
551,Visa,V,Stock,312.85109120963983,2026-08-13,19:19:05
23,Apple,AAPL,Stock,262.7529285521559,2026-08-13,19:19:05
47,Microsoft,MSFT,Stock,428.7783848381251,2026-08-13,19:19:05
71,Nvidia,NVDA,Stock,195.84845154814172,2026-08-13,19:19:05
